t_stamp,drift,batch_loss,avg_loss,cum_loss,mincum_loss,PH
0,0,0.0,0.0,0.0,0.0,0.0
10,0,0.8924870271109828,0.8924870271109828,-0.3,-0.3,-inf
15,0,0.8787254252794219,0.8856062261952024,-0.6068808009157804,-0.6068808009157804,-0.30688080091578046
20,0,0.4818295953208117,0.7510140159037387,-1.1760652214987075,-1.1760652214987075,-0.5691844205829271
25,0,0.4009264933624054,0.6634921352684053,-1.7386308634047076,-1.7386308634047076,-0.5625656419060001
30,0,0.4630196192786675,0.6233976320704577,-2.1990088761964977,-2.1990088761964977,-0.46037801279179
35,0,0.47259345909101286,0.5982636032405503,-2.624679020346035,-2.624679020346035,-0.4256701441495374
40,0,0.31655996947827303,0.5580202269887964,-3.1661392778565585,-3.1661392778565585,-0.5414602575105234
45,0,0.4767215241284045,0.5478578891312473,-3.537275642859401,-3.537275642859401,-0.3711363650028425
50,0,0.4711819441657089,0.5393383396906319,-3.905432038384324,-3.905432038384324,-0.36815639552492296
55,0,0.479075451464546,0.5333120508680234,-4.259668637787801,-4.259668637787801,-0.35423659940347685
60,0,0.43341990295894217,0.5242309465126522,-4.650479681341511,-4.650479681341511,-0.3908110435537102
65,0,0.42556681055504325,0.5160089351828514,-5.040921805969319,-5.040921805969319,-0.3904421246278078
70,0,0.4867157295031374,0.5137556116690273,-5.367961688135209,-5.367961688135209,-0.32703988216588975
75,0,0.5386515707363669,0.5155338944595516,-5.6448440118583925,-5.6448440118583925,-0.2768823237231839
80,0,0.49877360793039693,0.5144165420242746,-5.96048694595227,-5.96048694595227,-0.31564293409387734
85,0,0.3025005407100134,0.5011717919421332,-6.45915819718439,-6.45915819718439,-0.4986712512321203
90,0,0.3375000900476727,0.49154404477187086,-6.913202151908588,-6.913202151908588,-0.4540439547241979
95,0,0.4066324998938177,0.4868267367230901,-7.29339638873786,-7.29339638873786,-0.3801942368292721
100,0,0.30969229669137943,0.47750387145826323,-7.761207963504744,-7.761207963504744,-0.46781157476688406
105,0,0.37867614661167515,0.4725624852159338,-8.155094302109003,-8.155094302109003,-0.3938863386042586
110,0,0.38345599632507615,0.46831931907827395,-8.5399576248622,-8.5399576248622,-0.3848633227531977
115,0,0.5189984789482743,0.47062291725418304,-8.791582063168109,-8.791582063168109,-0.2516244383059085
120,0,0.4585033729214187,0.4700959805440629,-9.103174670790754,-9.103174670790754,-0.31159260762264473
125,0,0.44258688258971207,0.46894976812929823,-9.429537556330342,-9.429537556330342,-0.3263628855395879
130,0,0.4026985230952417,0.466299718327936,-9.793138751563037,-9.793138751563037,-0.36360119523269496
135,0,0.4444646483154212,0.4654599079428393,-10.114134011190457,-10.114134011190457,-0.3209952596274199
140,0,0.4877450998206629,0.46628528541979575,-10.39267419678959,-10.39267419678959,-0.27854018559913385
145,0,0.4394067706933994,0.4653253384652816,-10.718592764561475,-10.718592764561475,-0.3259185677718843
150,0,0.4338355291124499,0.46423948297035644,-11.048996718419382,-11.048996718419382,-0.3304039538579069
155,0,0.4211412376118241,0.46280287479173876,-11.390658355599298,-11.390658355599298,-0.34166163717991616
160,0,0.45556191336351837,0.46256929539082847,-11.69766573762661,-11.69766573762661,-0.3070073820273116
165,0,0.47066248425289536,0.46282220754276804,-11.989825460916483,-11.989825460916483,-0.29215972328987405
170,0,0.39018305418944677,0.4606210210775159,-12.360263427804554,-12.360263427804554,-0.37043796688807085
175,0,0.4633958328845768,0.4607026331894883,-12.657570228109465,-12.657570228109465,-0.2973068003049111
180,0,0.4341222820235532,0.4599431945847473,-12.98339114067066,-12.98339114067066,-0.32582091256119483
185,0,0.3829192444024526,0.45780364041301685,-13.358275536681225,-13.358275536681225,-0.37488439601056456
190,0,0.43739856389574605,0.457252151858496,-13.678129124643975,-13.678129124643975,-0.31985358796275065
195,0,0.4540245224328051,0.4571672142420305,-13.981271816453201,-13.981271816453201,-0.30314269180922615
200,0,0.2713402011816706,0.4524024190353546,-14.462334034306886,-14.462334034306886,-0.48106221785368497
205,0,0.4367082613373815,0.45201006509290526,-14.77763583806241,-14.77763583806241,-0.3153018037555242
210,0,0.40500245571063936,0.45086353803480117,-15.123496920386573,-15.123496920386573,-0.3458610823241628
215,0,0.42134907962050694,0.45016081283446086,-15.452308653600529,-15.452308653600529,-0.3288117332139553
220,0,0.39090011332301444,0.44878265703186904,-15.810191197309383,-15.810191197309383,-0.357882543708854
225,0,0.3882711442956787,0.4474073953787738,-16.169327448392476,-16.169327448392476,-0.3591362510830933
230,0,0.39881035392734693,0.44632746112429766,-16.516844555589426,-16.516844555589426,-0.34751710719694984
235,0,0.4329647244422958,0.446036966848602,-16.829916797995732,-16.829916797995732,-0.3130722424063066
240,0,0.44254003512497925,0.44596256404597173,-17.133339326916726,-17.133339326916726,-0.30342252892099353
245,0,0.4606038324960096,0.44626759047201414,-17.419003084892733,-17.419003084892733,-0.28566375797600685
250,0,0.4210825351337707,0.44575360975082545,-17.743674159509787,-17.743674159509787,-0.32467107461705424
255,0,0.38536094768405393,0.44454575650949,-18.102858968335227,-18.102858968335227,-0.35918480882543946
260,0,0.39917200773632694,0.44365607516099664,-18.4473430357599,-18.4473430357599,-0.3444840674246734
265,0,0.5015066263270249,0.44476858576034334,-18.69060499519322,-18.69060499519322,-0.24326195943331896
270,0,0.23281397382220964,0.4407694421388691,-19.198560463509878,-19.198560463509878,-0.5079554683166592
