t_stamp,drift,batch_loss,avg_loss,cum_loss,mincum_loss,PH
0,0,0.0,0.0,0.0,0.0,0.0
10,0,0.811273890595087,0.811273890595087,-0.1,-0.1,-inf
15,0,0.3531954647069871,0.5822346776510371,-0.42903921294405,-0.42903921294405,-0.32903921294405003
20,0,0.4204335714287589,0.5283009755769443,-0.6369066170922354,-0.6369066170922354,-0.2078674041481854
25,0,0.4519138110454972,0.5092041844440826,-0.7941969904908207,-0.7941969904908207,-0.15729037339858531
30,0,0.38222046118051195,0.4838074397913684,-0.9957839691016771,-0.9957839691016771,-0.2015869786108564
35,0,0.5366922113367235,0.4926215683822609,-1.0517133261472145,-1.0517133261472145,-0.055929357045537365
40,0,0.3384433804216461,0.4705961129593159,-1.2838660586848842,-1.2838660586848842,-0.23215273253766977
45,0,0.471762498324901,0.470741911130014,-1.3828454714899974,-1.3828454714899974,-0.09897941280511313
50,0,0.26291888994036017,0.44765046433116357,-1.667577045880801,-1.667577045880801,-0.28473157439080365
55,0,0.5169954490932698,0.4545849628073742,-1.7051665595949055,-1.7051665595949055,-0.03758951371410446
60,0,0.40635760611680755,0.45020065765368633,-1.8490096111317844,-1.8490096111317844,-0.14384305153687893
65,0,0.3603402304242184,0.4427122887178973,-2.031381669425463,-2.031381669425463,-0.18237205829367875
70,0,0.6933011786255245,0.46198835717233017,-1.900068847972269,-2.031381669425463,0.13131282145319423
75,0,0.3469837079975472,0.4537737393741314,-2.106858879348853,-2.106858879348853,-0.07547720992339002
80,0,0.41214987938987074,0.45099881537518066,-2.245707815334163,-2.245707815334163,-0.13884893598531
85,0,0.3364627264746697,0.4438403098188987,-2.4530853986783923,-2.4530853986783923,-0.20737758334422907
90,0,0.30036938540710517,0.4354008436770285,-2.688116856948316,-2.688116856948316,-0.23503145826992355
95,0,0.2155944847572734,0.42318937929259764,-2.99571175148364,-2.99571175148364,-0.3075948945353244
100,0,0.45683921348456485,0.42496042319743804,-3.0638329611965136,-3.0638329611965136,-0.06812120971287339
105,0,0.3990173118591419,0.42366326763052325,-3.1884789169678953,-3.1884789169678953,-0.12464595577138171
110,0,0.1564814472314604,0.41094032380199647,-3.5429377935384316,-3.5429377935384316,-0.3544588765705363
115,0,0.56046269408238,0.4177367951783775,-3.500211894634429,-3.5429377935384316,0.04272589890400269
120,0,0.2636263984519309,0.41103634314679277,-3.747621839329291,-3.747621839329291,-0.20468404579085941
125,0,0.3969556019821665,0.41044964559826663,-3.8611158829453913,-3.8611158829453913,-0.11349404361610027
130,0,0.244180922616512,0.40379889667899643,-4.120733857007875,-4.120733857007875,-0.25961797406248355
135,0,0.2907249793349299,0.3994498998580708,-4.329458777531015,-4.329458777531015,-0.2087249205231405
140,0,0.4493393884189857,0.40129765869366024,-4.38141704780569,-4.38141704780569,-0.05195827027467459
145,0,0.40848791633329934,0.40155445360936165,-4.474483585081752,-4.474483585081752,-0.09306653727606218
150,0,0.20319013707770517,0.39471430476344244,-4.766007752767489,-4.766007752767489,-0.2915241676857372
155,0,0.33599218600106673,0.3927569008046966,-4.922772467571119,-4.922772467571119,-0.15676471480362952
160,0,0.399693393336502,0.39298065862830317,-5.01605973286292,-5.01605973286292,-0.09328726529180109
165,0,0.307575603356846,0.3903117506510701,-5.198795880157143,-5.198795880157143,-0.18273614729422327
170,1,0.8471715181195989,0.4041559860289043,-4.855780348066448,-5.198795880157143,0.34301553209069535
175,1,0.6036446025617884,0.41002329827987144,-4.762159043784531,-5.198795880157143,0.4366368363726121
180,1,0.6520431066321184,0.4169381499470785,-4.627054087099491,-5.198795880157143,0.5717417930576518
185,1,0.38108247139763574,0.4159421588762607,-4.761913774578116,-5.198795880157143,0.43688210557902707
190,1,0.5445403488678189,0.4194177856327893,-4.736791211343086,-5.198795880157143,0.4620046688140569
195,1,0.3798809562602488,0.41837734275456456,-4.875287597837402,-5.198795880157143,0.32350828231974127
200,0,0.46514678917108404,0.41957655932934707,-4.929717367995665,-5.198795880157143,0.26907851216147805
205,0,0.42983453535514765,0.419853801924639,-5.019736634565157,-5.198795880157143,0.17905924559198638
210,0,0.48287420074140713,0.42151223347244865,-5.058374667296198,-5.198795880157143,0.14042121286094567
215,0,0.4000612873285788,0.42096220921234945,-5.1792755891799676,-5.198795880157143,0.01952029097717567
220,0,0.329720353043782,0.4186811628081353,-5.368236398944321,-5.368236398944321,-0.16944051878717747
225,0,0.4463666686628489,0.4193564190484942,-5.441226149329966,-5.441226149329966,-0.07298975038564492
230,0,0.3923896894896674,0.4187143540589983,-5.567550813899296,-5.567550813899296,-0.12632466456933056
235,0,0.4909601583729285,0.4203944890430432,-5.596985144569411,-5.596985144569411,-0.029434330670114583
240,0,0.494115845722994,0.422069974422133,-5.6249392732685495,-5.6249392732685495,-0.027954128699138714
245,0,0.31121257883270703,0.419606476742368,-5.83333317117821,-5.83333317117821,-0.20839389790966045
250,0,0.5113091609920171,0.4216000133564908,-5.8436240235426835,-5.8436240235426835,-0.01029085236447358
255,0,0.6355739636898083,0.4261526505976252,-5.7342027104505,-5.8436240235426835,0.1094213130921835
260,0,0.2512492951000721,0.4225088306914262,-6.005462246041854,-6.005462246041854,-0.16183822249917057
265,0,0.2223744334672154,0.41842445523787086,-6.301512267812509,-6.301512267812509,-0.29605002177065476
270,0,0.23626418284344833,0.41478124978998243,-6.580029334759042,-6.580029334759042,-0.27851706694653355
275,0,0.28254981863592993,0.41218847663009905,-6.809667992753211,-6.809667992753211,-0.22963865799416894
280,0,0.6170350821369839,0.41612783442830836,-6.708760745044535,-6.809667992753211,0.1009072477086761
285,0,0.282986147923912,0.41361572713577255,-6.9393903242563955,-6.9393903242563955,-0.12972233150318413
290,0,0.1451455732129166,0.4086440576186826,-7.3028888086621615,-7.3028888086621615,-0.36349848440576604
295,0,0.19593759395785884,0.404776667370304,-7.611727882074606,-7.611727882074606,-0.3088390734124449
300,0,0.12241881612151642,0.3997345628837185,-7.989043628836808,-7.989043628836808,-0.3773157467622017
305,0,0.11325863361757207,0.3947086693878212,-8.370493664607057,-8.370493664607057,-0.38145003577024905
310,0,0.3280077826841675,0.39355865409982715,-8.536044536022716,-8.536044536022716,-0.16555087141565927
315,0,0.27303106104330793,0.3915158135395472,-8.754529288518954,-8.754529288518954,-0.2184847524962379
320,0,0.10738779013466412,0.38678034648279913,-9.13392184486709,-9.13392184486709,-0.37939255634813485
325,0,0.13153948802459245,0.3825960701146318,-9.484978426957127,-9.484978426957127,-0.3510565820900382
330,0,0.37234171162164664,0.38243067723571267,-9.595067392571192,-9.595067392571192,-0.11008896561406445
335,0,0.7888718825737692,0.3888821249394913,-9.295077634936913,-9.595067392571192,0.29998975763427893
340,1,0.7450683267755266,0.39444753434317936,-9.044456842504564,-9.595067392571192,0.5506105500666276
345,1,0.7970495408942986,0.40064141136704273,-8.748048712977308,-9.595067392571192,0.8470186795938837
350,1,0.7059447135739497,0.4052672189762383,-8.547371218379597,-9.595067392571192,1.0476961741915947
355,1,0.3537460493655129,0.4044982462954812,-8.698123415309565,-9.595067392571192,0.8969439772616266
360,1,0.7239147528364539,0.4091955478622602,-8.48340421033537,-9.595067392571192,1.1116631822358212
365,1,0.4237689296296641,0.40940675629367185,-8.569042036999377,-9.595067392571192,1.0260253555718144
370,1,0.5550073077732758,0.4114867641719519,-8.525521493398054,-9.595067392571192,1.0695458991731375
375,1,0.2420266206710751,0.4091000015874325,-8.792594874314412,-9.595067392571192,0.8024725182567796
380,1,0.337977515472569,0.4081121892802816,-8.962729548122125,-9.595067392571192,0.6323378444490668
385,1,0.30435508973876735,0.406690859149576,-9.165065317532934,-9.595067392571192,0.43000207503825827
